Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7534675_1	SRR7534675_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1265898.0	0.0	5-151	52.0	71.16807807601691	110.21028708474142	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR7534675_2	SRR7534675_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1265898.0	0.0	5-151	52.0	73.76862278968076	104.93777065766753	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534676_1	SRR7534676_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1184432.0	0.0	5-151	51.0	68.69298791154085	113.57037466059681	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR7534676_2	SRR7534676_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1184432.0	0.0	5-151	51.0	70.8152305694725	109.53475421130128	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534677_1	SRR7534677_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1069656.0	0.0	5-151	52.0	69.56955223121054	113.17540779465548	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
SRR7534677_2	SRR7534677_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1069656.0	0.0	5-151	52.0	71.83361645702396	108.5676535259934	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR7534678_1	SRR7534678_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1016282.0	0.0	5-151	52.0	69.0343170181382	114.93872566866283	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR7534678_2	SRR7534678_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1016282.0	0.0	5-151	52.0	70.98342957012905	110.68716950610165	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534679_1	SRR7534679_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	427504.0	0.0	6-151	52.0	81.59865464435566	117.41819725663386	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534679_2	SRR7534679_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	427504.0	0.0	5-151	52.0	83.62043061552363	111.15342780418429	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534680_1	SRR7534680_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	578480.0	0.0	5-151	51.0	77.98497042104205	113.35502869589268	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534680_2	SRR7534680_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	578480.0	0.0	5-151	51.0	80.75709080887617	104.86185520674871	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534681_1	SRR7534681_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	315594.0	0.0	5-301	52.0	78.40696653360149	199.94892805313157	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534681_2	SRR7534681_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	315594.0	0.0	5-301	51.0	79.36971968306644	163.9201505732048	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534682_1	SRR7534682_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	318005.0	0.0	6-301	52.0	84.3048059512877	181.07554912658605	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534682_2	SRR7534682_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	318005.0	0.0	5-301	52.0	85.24674039359223	149.76244398672978	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534683_1	SRR7534683_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	148652.0	0.0	6-301	51.0	88.0192248022088	189.2486613029088	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534683_2	SRR7534683_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	148652.0	0.0	5-301	51.0	88.52327134833968	158.53541156526651	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534684_1	SRR7534684_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	202098.0	0.0	5-301	52.0	87.22509658203127	196.7822739463033	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534684_2	SRR7534684_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	202098.0	0.0	5-301	52.0	87.90923888403631	162.41266118417798	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534685_1	SRR7534685_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	445973.0	0.0	5-301	51.0	44.39680734306684	160.8811699362966	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR7534685_2	SRR7534685_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	445973.0	0.0	5-301	51.0	45.60400808226482	137.77417018519057	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
SRR7534686_1	SRR7534686_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	423857.0	0.0	5-301	50.0	33.65286843016895	179.29797077788027	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR7534686_2	SRR7534686_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	423857.0	0.0	5-301	50.0	36.21839582441941	148.6301394102256	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
