Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7534690_2	13.283319369196136	52.0	160.74354670522428	10.0	257969.0
SRR7534691_1	29.192967691594987	53.0	115.6019830632387	10.0	984840.0
SRR7534691_2	26.889748450441516	53.0	110.84354920596239	10.0	984840.0
SRR7534692_1	26.7245727041702	52.0	112.30011650540446	10.0	847171.0
SRR7534692_2	25.125015077913446	52.0	109.71029461584497	10.0	847171.0
SRR7534693_1	21.701090939905683	53.0	101.45514105556923	10.0	837046.0
SRR7534693_2	20.256975077809614	53.0	98.84736322734952	10.0	837046.0
SRR7534694_1	25.848351405478724	51.0	106.4645784244195	10.0	988423.0
SRR7534694_2	24.31068198236082	51.0	104.06221830127384	10.0	988423.0
SRR7534695_1	10.260890815112049	51.0	116.61673139518575	10.0	206761.0
SRR7534695_2	9.528493512142404	51.0	113.46710453131877	10.0	206761.0
SRR7534696_1	26.631965005341513	52.0	109.67752227144219	10.0	1081991.0
SRR7534696_2	24.294281405354866	52.0	105.45977369497528	10.0	1081991.0
SRR7534697_1	25.059061419241687	51.0	106.57092185134815	10.0	975743.0
SRR7534697_2	23.30232033745824	51.0	103.10396180141697	10.0	975743.0
SRR7534698_1	30.761003962071626	52.0	105.05112546271216	10.0	1417728.0
SRR7534698_2	28.93975228014419	52.0	102.64853554419466	10.0	1417728.0
SRR7534699_1	26.07560021772494	51.0	103.05003304009874	10.0	1122878.0
SRR7534699_2	24.295139625461232	51.0	99.73686900981228	10.0	1122878.0
SRR7534700_1	38.29314879391852	51.0	113.7497408631187	10.0	1192420.0
SRR7534700_2	36.389151750765045	51.0	110.88749266198151	10.0	1192420.0
SRR7534701_1	21.221138259608935	52.0	160.14462255978867	10.0	607222.0
SRR7534701_2	20.389309122155595	52.0	138.06874256861576	10.0	607222.0
SRR7534702_1	16.14144458960125	52.0	141.25316122433517	10.0	527960.0
SRR7534702_2	15.373512547246008	52.0	124.4714353360103	10.0	527960.0
SRR7534703_1	7.924250243450075	47.0	149.4262128222636	20.0	235793.0
SRR7534703_2	7.5458955724745636	47.0	133.65950643148864	20.0	235793.0
SRR7534704_1	7.92946114326395	52.0	153.00528592721852	10.0	137535.0
SRR7534704_2	7.444991945902501	52.0	133.16214054604282	10.0	137535.0
SRR7534705_1	12.975206436560043	52.0	143.256536664843	10.0	332662.0
SRR7534705_2	12.828881135098442	52.0	129.51001617257157	10.0	332662.0
SRR7534706_1	16.602392046621333	52.0	157.95624124631	10.0	464090.0
SRR7534706_2	16.143001508644787	52.0	136.8849167187399	10.0	464090.0
SRR7534707_1	24.337319262358662	52.0	125.68927971120763	10.0	443225.0
SRR7534707_2	21.453915614421618	52.0	118.58836708218173	10.0	443225.0
SRR7534708_1	30.684070555256227	53.0	121.43885223560368	10.0	360283.0
SRR7534708_2	27.54153283160238	53.0	114.03267708995429	10.0	360283.0
SRR7534709_1	5.620326954758582	51.0	226.29162970472692	10.0	63128.0
SRR7534709_2	5.1419338486883674	51.0	167.58417817767076	10.0	63128.0
SRR7534710_1	10.79545865340485	52.0	181.20588357944777	10.0	215821.0
SRR7534710_2	10.12839164107568	52.0	149.68832041367614	10.0	215821.0
