Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7534686_2	SRR7534686_2.fastq	Conventional base calls	Sanger / Illumina 1.9	428504.0	0.0	35-301	50.0	35.75494544065893	191.45514861004798	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
SRR7534687_1	SRR7534687_1.fastq	Conventional base calls	Sanger / Illumina 1.9	291205.0	0.0	35-301	52.0	85.05249613739974	185.62297007262924	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534687_2	SRR7534687_2.fastq	Conventional base calls	Sanger / Illumina 1.9	291205.0	0.0	35-301	51.0	85.95604728623631	190.76208856303978	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534688_1	SRR7534688_1.fastq	Conventional base calls	Sanger / Illumina 1.9	276559.0	0.0	35-301	50.0	63.89280796269205	156.4914141286308	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR7534688_2	SRR7534688_2.fastq	Conventional base calls	Sanger / Illumina 1.9	276559.0	0.0	35-301	49.0	64.49145214794483	159.54207601271338	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
SRR7534689_1	SRR7534689_1.fastq	Conventional base calls	Sanger / Illumina 1.9	409235.0	0.0	35-301	52.0	84.8464254380618	138.27231786137548	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534689_2	SRR7534689_2.fastq	Conventional base calls	Sanger / Illumina 1.9	409235.0	0.0	35-301	51.0	85.43889938590804	141.91286669028798	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534690_1	SRR7534690_1.fastq	Conventional base calls	Sanger / Illumina 1.9	260064.0	0.0	35-301	52.0	85.75481175316771	195.73129306632214	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534690_2	SRR7534690_2.fastq	Conventional base calls	Sanger / Illumina 1.9	260064.0	0.0	35-301	51.0	86.19712821987008	199.67963655100283	pass	fail	pass	fail	fail	pass	warn	pass	warn	pass
SRR7534691_1	SRR7534691_1.fastq	Conventional base calls	Sanger / Illumina 1.9	998729.0	0.0	35-151	53.0	69.91626630331768	115.7884070653801	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534691_2	SRR7534691_2.fastq	Conventional base calls	Sanger / Illumina 1.9	998729.0	0.0	35-151	53.0	72.05667284622277	116.04612862948808	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
SRR7534692_1	SRR7534692_1.fastq	Conventional base calls	Sanger / Illumina 1.9	860766.0	0.0	35-151	52.0	72.12834058098466	112.59026727356796	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
